Encode Order, Type, POC, QP, Bits, Scenecut, I/P cost ratio, Y PSNR, U PSNR, V PSNR, YUV PSNR, Latency, List 0, List 1, Intra 64x64 DC, Intra 64x64 Planar, Intra 64x64 Ang, Intra 32x32 DC, Intra 32x32 Planar, Intra 32x32 Ang, Intra 16x16 DC, Intra 16x16 Planar, Intra 16x16 Ang, Intra 8x8 DC, Intra 8x8 Planar, Intra 8x8 Ang, 4x4, Inter 64x64, Inter 64x64 (Rect), Inter 32x32, Inter 32x32 (Rect), Inter 16x16, Inter 16x16 (Rect), Inter 8x8, Inter 8x8 (Rect), Skip 64x64, Skip 32x32, Skip 16x16, Skip 8x8, Merge 64x64, Merge 32x32, Merge 16x16, Merge 8x8, Avg Luma Distortion, Avg Chroma Distortion, Avg psyEnergy, Avg Residual Energy, Min Luma Level, Max Luma Level, Avg Luma Level, Min Cb Level, Max Cb Level, Avg Cb Level, Min Cr Level, Max Cr Level, Avg Cr Level, Intra 64x64, Skip 64x64, AMP 64, Inter 64x64, Merge 64x64, Inter 64x32, Merge 64x32, Inter 32x64, Merge 32x64, Intra 32x32, Skip 32x32, AMP 32, Inter 32x32, Merge 32x32, Inter 32x16, Merge 32x16, Inter 16x32, Merge 16x32, Intra 16x16, Skip 16x16, AMP 16, Inter 16x16, Merge 16x16, Inter 16x8, Merge 16x8, Inter 8x16, Merge 8x16, Intra 8x8, Skip 8x8, AMP 8, Inter 8x8, Merge 8x8, Inter 8x4, Merge 8x4, Inter 4x8, Merge 4x8, 4x4, DecideWait (ms), Row0Wait (ms), Wall time (ms), Ref Wait Wall (ms), Total CTU time (ms),Stall Time (ms), Total frame time (ms), Avg WPP, Row Blocks
0, I-SLICE,    0, 34.00,     362776, 0,0.00,32.891, 41.554, 43.209, 35.263,55,  -, -, 0.00%,  0.00%,  0.00%, 2.19%,  2.44%,  3.63%, 4.76%,  2.89%, 15.44%, 8.91%,  3.31%, 35.25%,21.18%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%,  0.00%, 138384.43, 8283.61, 12215.66, 647276.76 , 16, 233, 136.44, 20, 172, 133.23, 88, 181, 122.76, 0.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 100.00%, 0.00%,0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 94.83%, 0.00%,0.00%, 5.17%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 92.01%, 0.00%,0.00%, 7.99%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%,100.00%, 404.5, 0.1, 230.9, 0.0, 999.6, 0.0, 540.1, 5.325, 39
1, P-SLICE,    1, 37.00,     251224, 0,1.26,31.338, 40.397, 42.399, 33.853,55, 0 , -, 0.00%,  0.00%,  0.00%, 1.92%,  1.42%,  4.31%, 2.76%,  1.74%, 11.68%, 4.54%,  2.98%, 21.23%, 0.00%,  0.23%,  0.27%,  8.31%,  0.54%, 15.20%,  1.22%, 12.31%,  2.71%,  0.00%,  0.05%,  0.84%,  2.35%,  0.00%,  0.09%,  0.77%,  2.55%, 206713.87, 10548.40, 13346.57, 1188083.66 , 18, 231, 128.52, 19, 168, 132.40, 93, 182, 123.42, 0.00%, 0.00%,0.00%, 9.09%, 36.36%, 27.27%, 0.00%, 27.27%, 0.00%, 46.00%, 0.81%,0.00%, 13.30%, 36.64%, 1.63%, 0.14%, 1.49%, 0.00%, 44.58%, 4.42%,0.00%, 18.62%, 29.02%, 0.97%, 0.90%, 0.59%, 0.90%, 51.83%, 8.84%,0.00%, 18.73%, 15.72%, 0.33%, 1.18%, 0.67%, 2.71%,0.00%, 495.3, 13.4, 216.4, 120.3, 686.4, 0.0, 621.1, 3.687, 79
2, P-SLICE,    4, 37.00,     139136, 0,1.26,31.948, 40.810, 42.810, 34.413,53, 1 0 , -, 0.00%,  0.00%,  0.00%, 0.54%,  0.79%,  1.07%, 1.07%,  0.81%,  2.75%, 1.61%,  1.70%,  8.29%, 0.00%,  0.40%,  0.49%,  8.24%,  4.19%, 19.88%,  7.40%, 17.83%,  6.70%,  0.00%,  0.14%,  1.47%,  4.68%,  0.00%,  0.77%,  2.16%,  7.03%, 178030.68, 9393.67, 10961.48, 583077.08 , 19, 232, 135.70, 21, 170, 133.33, 94, 176, 123.08, 0.00%, 0.00%,0.00%, 23.68%, 21.05%, 34.21%, 7.89%, 13.16%, 0.00%, 15.24%, 5.77%,0.00%, 16.42%, 35.95%, 15.90%, 7.17%, 1.63%, 1.92%, 12.29%, 9.64%,0.00%, 25.51%, 32.92%, 5.81%, 9.82%, 1.51%, 2.50%, 21.14%, 21.35%,0.00%, 22.62%, 22.67%, 0.51%, 6.79%, 0.81%, 4.12%,0.00%, 506.4, 96.8, 217.9, 117.2, 608.8, 0.0, 699.9, 3.313, 45
3, B-SLICE,    3, 38.00,     221784, 0,1.17,30.306, 39.457, 41.491, 32.848,55, 1 0 ,4 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  1.35%,  0.73%, 20.23%,  4.75%, 24.03%,  5.94%, 21.39%,  8.98%,  0.00%,  0.03%,  1.35%,  2.61%,  0.00%,  0.07%,  1.82%,  6.73%, 261053.19, 12438.64, 15282.73, 1644851.41 , 16, 233, 126.73, 18, 148, 132.26, 99, 171, 123.81, 0.00%, 0.00%,0.00%, 19.05%, 46.03%, 18.25%, 2.38%, 13.49%, 0.79%, 0.00%, 0.39%,0.00%, 18.42%, 62.24%, 9.47%, 5.53%, 3.16%, 0.79%, 0.00%, 8.76%,0.00%, 23.91%, 50.91%, 5.43%, 6.16%, 2.14%, 2.69%, 0.00%, 18.82%,0.00%, 28.06%, 35.04%, 1.86%, 5.52%, 1.76%, 8.94%,0.00%, 513.5, 179.7, 216.4, 122.9, 710.3, 0.0, 794.6, 4.052, 82
4, b-SLICE,    2, 39.00,     137728, 0,1.90,28.582, 39.136, 41.487, 31.514,57, 1 0 ,3 4 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.61%,  0.69%, 10.63%,  6.33%, 16.85%, 10.05%, 19.11%, 13.29%,  0.00%,  0.27%,  1.97%,  5.72%,  0.05%,  1.89%,  3.48%,  9.06%, 376508.43, 13042.74, 23362.67, 903270.21 , 16, 233, 121.28, 21, 149, 131.63, 96, 170, 124.12, 0.00%, 3.92%,0.00%, 13.73%, 31.37%, 30.39%, 8.82%, 11.76%, 0.00%, 0.00%, 11.27%,0.00%, 19.33%, 36.30%, 13.98%, 13.14%, 3.27%, 2.71%, 0.00%, 15.66%,0.00%, 26.97%, 28.50%, 8.94%, 14.29%, 2.48%, 3.17%, 0.00%, 26.78%,0.00%, 23.41%, 25.72%, 1.78%, 11.85%, 0.96%, 9.49%,0.00%, 520.4, 291.5, 187.3, 93.7, 642.9, 0.0, 888.8, 4.180, 46
5, P-SLICE,    6, 37.00,     289384, 0,1.07,29.742, 40.698, 42.333, 32.685,54, 4 3 1 0 , -, 0.00%,  0.00%,  0.00%, 0.58%,  1.28%,  2.09%, 1.36%,  1.04%,  6.80%, 3.39%,  2.49%, 21.11%, 0.00%,  0.30%,  0.28%,  8.72%,  0.98%, 13.92%,  1.24%, 18.19%,  5.73%,  0.00%,  0.18%,  0.62%,  4.01%,  0.00%,  0.26%,  1.50%,  3.95%, 289035.63, 10085.14, 19020.41, 1215472.43 , 16, 235, 146.47, 19, 176, 136.24, 77, 196, 121.55, 0.00%, 0.00%,0.00%, 13.79%, 37.93%, 25.86%, 1.72%, 20.69%, 0.00%, 28.05%, 3.12%,0.00%, 17.99%, 43.91%, 3.47%, 1.63%, 1.27%, 0.57%, 32.49%, 7.47%,0.00%, 21.28%, 34.39%, 0.81%, 1.59%, 0.49%, 1.48%, 41.61%, 12.27%,0.00%, 16.39%, 20.91%, 0.28%, 3.01%, 0.31%, 5.23%,0.00%, 2.4, 174.2, 225.7, 93.7, 963.3, 0.0, 907.1, 5.704, 76
6, b-SLICE,    5, 39.00,      73808, 0,1.14,30.349, 40.481, 42.721, 33.162,56, 4 3 1 ,6 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.92%,  1.40%, 14.08%, 10.36%, 20.54%,  8.78%, 15.77%,  4.19%,  0.00%,  0.40%,  1.87%,  4.52%,  0.11%,  3.38%,  5.70%,  7.98%, 249015.63, 9524.67, 17553.07, 753734.81 , 19, 233, 141.35, 22, 170, 134.74, 91, 183, 122.17, 0.00%, 4.55%,0.00%, 16.67%, 21.21%, 39.39%, 12.12%, 6.06%, 0.00%, 0.00%, 13.41%,0.00%, 21.09%, 28.78%, 17.64%, 12.04%, 4.23%, 2.80%, 0.00%, 18.80%,0.00%, 30.20%, 29.20%, 6.66%, 9.49%, 2.42%, 3.24%, 0.00%, 28.72%,0.00%, 32.77%, 28.89%, 0.76%, 3.55%, 0.46%, 4.86%,0.00%, 3.9, 201.6, 166.0, 99.6, 503.4, 0.0, 970.6, 3.484, 47
7, P-SLICE,    7, 37.00,     284792, 0,2.23,29.436, 40.820, 42.473, 32.489,55, 6 4 3 1 , -, 0.00%,  0.00%,  0.00%, 0.65%,  0.91%,  1.37%, 1.02%,  0.85%,  5.11%, 2.82%,  1.37%, 13.63%, 0.00%,  0.54%,  0.28%,  9.12%,  1.56%, 14.13%,  2.88%, 17.04%,  7.69%,  0.00%,  0.24%,  1.02%,  3.86%,  0.04%,  1.11%,  3.36%,  9.41%, 309677.12, 9563.39, 18981.40, 1112016.41 , 16, 235, 145.02, 22, 178, 136.28, 81, 195, 121.72, 0.00%, 5.00%,0.00%, 5.00%, 57.50%, 12.50%, 2.50%, 17.50%, 0.00%, 19.57%, 8.99%,0.00%, 13.48%, 47.54%, 4.35%, 3.19%, 1.38%, 1.52%, 22.98%, 14.42%,0.00%, 21.77%, 31.33%, 2.71%, 2.07%, 1.75%, 2.96%, 28.58%, 21.28%,0.00%, 18.50%, 19.30%, 0.71%, 5.20%, 0.57%, 5.86%,0.00%, 2.6, 106.9, 215.7, 99.6, 814.9, 0.0, 1011.3, 4.472, 53
8, P-SLICE,   10, 37.00,     294544, 0,1.16,29.389, 40.816, 42.641, 32.474,53, 7 6 4 3 , -, 0.00%,  0.00%,  0.00%, 0.44%,  0.68%,  1.05%, 1.05%,  0.92%,  3.82%, 1.65%,  1.03%,  9.40%, 0.00%,  0.55%,  0.46%,  9.71%,  2.13%, 17.50%,  4.50%, 25.10%,  9.62%,  0.00%,  0.13%,  0.70%,  2.83%,  0.00%,  0.24%,  1.76%,  4.72%, 313378.14, 9402.42, 18141.87, 876042.75 , 18, 235, 142.69, 20, 175, 136.18, 83, 194, 121.88, 0.00%, 0.00%,0.00%, 8.70%, 45.65%, 32.61%, 2.17%, 8.70%, 2.17%, 15.11%, 2.60%,0.00%, 16.03%, 51.45%, 8.47%, 2.21%, 2.82%, 1.30%, 17.96%, 7.62%,0.00%, 24.01%, 36.46%, 7.79%, 2.41%, 1.97%, 1.77%, 19.81%, 12.39%,0.00%, 23.49%, 28.53%, 2.02%, 6.74%, 0.76%, 6.27%,0.00%, 3.5, 99.9, 231.4, 124.5, 855.2, 0.0, 1095.9, 4.136, 44
9, B-SLICE,    9, 38.00,     299656, 0,1.12,28.207, 39.943, 41.946, 31.391,55, 7 6 3 ,10 , 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  0.00%,  0.00%, 0.00%,  1.71%,  0.72%, 23.01%,  2.78%, 26.13%,  2.50%, 25.07%,  8.47%,  0.00%,  0.03%,  0.58%,  1.92%,  0.00%,  0.07%,  1.61%,  5.38%, 411077.41, 11081.83, 22953.36, 1548892.14 , 16, 234, 134.53, 21, 147, 135.47, 106, 184, 122.68, 0.00%, 0.00%,0.00%, 21.13%, 49.30%, 16.90%, 2.82%, 7.75%, 2.11%, 0.00%, 0.40%,0.00%, 23.71%, 65.17%, 4.50%, 1.32%, 3.58%, 1.32%, 0.00%, 6.46%,0.00%, 29.87%, 56.31%, 1.66%, 2.37%, 1.36%, 1.97%, 0.00%, 14.28%,0.00%, 30.76%, 38.40%, 1.74%, 5.83%, 0.64%, 8.34%,0.00%, 3.5, 108.8, 252.3, 128.0, 858.7, 0.0, 1219.8, 4.070, 38
